Star name,Sp. T.,V,B-V,RA,dec,epoch
18 SCO,G2V,5.50,0.65,16 15 37.2702,-08 22 09.982,J2000
ALPHA LYR,A0V,0.031,0.00,18 36 56.3363,+38 47 01.280,J2000
BD+02 3375,A5,9.93,0.45,17 39 45.5948,+02 24 59.606,J2000
BD+26 2606,A5,9.73,0.39,14 49 02.3593,+25 42 09.192,J2000
BD+60 1753,A1V,9.65,0.07,17 24 52.2753,+60 25 50.749,J2000
DELTA UMI,A1V,4.34,0.03,17 32 12.9967,+86 35 11.258,J2000
ETA1 DOR,A0V,5.69,-0.01,06 06 09.3817,-66 02 22.635,J2000
HD2811,A3V,7.50,0.17,00 31 18.4898,-43 36 22.998,J2000
HD14943,A5V,5.91,0.19,02 22 54.6750,-51 05 31.659,J2000
HD37725,A3V,8.31,-0.19,05 41 54.3697,+29 17 50.954,J2000
HD55677,A4V,9.41,0.06,07 14 31.2896,+13 51 36.782,J2000
HD101452,A2/3,8.20,-0.36,11 40 13.6523,-39 08 47.685,J2000
HD116405,A0V,8.34,-0.07,13 22 45.1228,+44 42 53.894,J2000
HD128998,A1V,5.83,0.00,14 38 15.2215,+54 01 24.025,J2000
HD158485,A4V,6.50,0.13,17 26 04.8373,+58 39 06.831,J2000
HD163466,A6V,6.85,0.19,17 52 25.3741,+60 23 46.938,J2000
HD165459,A4V,6.86,0.13,18 02 30.7405,+58 37 38.159,J2000
HD180609,A0V,9.42,0.15,19 12 47.1996,+64 10 37.176,J2000
HD205905,G2V,6.74,0.62,21 39 10.1509,-27 18 23.662,J2000
SIRIUS,A1V,-1.46,0.00,06 45 08.9172,-16 42 58.017,J2000
